model,L,rank,x,pi,source,KF_of_distribution
NNN-TFIM,18,1,6.7367538557278275e+00,8.5306210482414202e-01,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,2,7.3517644233172619e-01,9.3093970292442943e-02,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,3,2.4304205387832412e-01,3.0775944985127576e-02,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,4,1.0363260118672595e-01,1.3122795754454381e-02,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,5,4.6836146914596630e-02,5.9307706537100376e-03,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,6,2.0530256866410954e-02,2.5997067000080687e-03,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,7,8.0430179184381410e-03,1.0184717954044736e-03,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,8,2.3827371798125032e-03,3.0172139837429061e-04,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,9,2.2981436780949833e-04,2.9100948694409397e-05,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,10,1.0828322034537985e-04,1.3711694659354054e-05,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,11,5.6377713390693387e-05,7.1390007532108589e-06,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,12,5.2525768340509945e-05,6.6512364051958880e-06,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,13,4.6776304701554841e-05,5.9231929500699738e-06,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,14,3.8907038686014758e-05,4.9267230219116067e-06,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,15,3.0985128217361725e-05,3.9235868285249699e-06,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,16,3.0153949569882456e-05,3.8183362847633489e-06,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,17,2.6386592892829377e-05,3.3412831987555076e-06,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,18,2.3338187583921272e-05,2.9552695332921008e-06,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,19,1.9559156277112901e-05,2.4767381115092889e-06,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,20,1.3570677297191144e-05,1.7184286062623786e-06,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,21,8.1479827486118977e-06,1.0317632887376315e-06,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,22,7.8054115059754427e-06,9.8838415517359194e-07,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,23,4.8605126243681421e-06,6.1547730830961768e-07,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,24,4.7412378202859117e-06,6.0037377067088317e-07,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,25,4.5116963065300955e-06,5.7130737295730647e-07,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,26,4.3278891680508442e-06,5.4803223068689439e-07,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,27,3.2122678111772424e-06,4.0676325704431494e-07,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,28,3.0758640302945182e-06,3.8949071021868708e-07,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,29,2.8135555510440206e-06,3.5627509507009500e-07,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,30,2.3508129481120535e-06,2.9767889468891039e-07,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,31,2.2846790266559917e-06,2.8930448418709051e-07,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,32,2.0694962019365829e-06,2.6205629948147441e-07,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,33,1.8687414615185935e-06,2.3663511517194437e-07,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,34,1.8070518152565600e-06,2.2882347463806863e-07,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,35,1.4813183938281081e-06,1.8757648179164473e-07,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,36,1.3762598547580230e-06,1.7427312228227556e-07,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,37,1.0495660363820653e-06,1.3290451622880099e-07,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,38,9.3547073836640234e-07,1.1845684942069496e-07,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,39,7.9319018082317376e-07,1.0044013773837893e-07,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,40,7.2273240902785427e-07,9.1518206434946937e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,41,6.1080702074279495e-07,7.7345311097152732e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,42,6.0627695382706908e-07,7.6771677489500936e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,43,6.0103048735142698e-07,7.6107327591842847e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,44,5.6370991830632595e-07,7.1381496150668866e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,45,5.6336756641159147e-07,7.1338144792705200e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,46,5.6109211226861690e-07,7.1050008437688122e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,47,5.5970900653723887e-07,7.0874868435296533e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,48,3.7672516791667468e-07,4.7703979032867093e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,49,3.5715563888599086e-07,4.5225927439644872e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,50,3.1573685680585531e-07,3.9981147212074038e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,51,2.8407186119715264e-07,3.5971470091358045e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,52,2.7970285896738017e-07,3.5418231793220994e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,53,2.6071692640392861e-07,3.3014079891358554e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,54,2.3023020308040083e-07,2.9153605110103521e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,55,2.0363039566290385e-07,2.5785322968669207e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,56,1.8822614376292159e-07,2.3834712358506065e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,57,1.5268005597092589e-07,1.9333580044710470e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,58,1.0861131762415697e-07,1.3753240982882369e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,59,9.2040973403941203e-08,1.1654970358650003e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,60,8.9917439588554161e-08,1.1386071380742550e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,61,8.1994084571054843e-08,1.0382752266930776e-08,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,62,7.6767959838573404e-08,9.7209782048469156e-09,parity-PRG-sector-hybrid,0.737543870639
NNN-TFIM,18,63,7.1368790501140798e-08,9.0372918392873076e-09,parity-PRG-sector-hybrid,0.737543870639
