lambda_or_g,fit,sizes,K_inf,deviation_from_2_3,rmse,coefficients
0,linear all sizes,6 8 10 12 14 16 18 20,0.67487520233797,0.008208535671303419,0.001197110969729188,"[1.1617032103299332, 0.67487520233797]"
0,linear drop L=6,8 10 12 14 16 18 20,0.6721930433640734,0.005526376697406743,0.000475888972069677,"[1.1993085290760073, 0.6721930433640734]"
0,linear L>=10,10 12 14 16 18 20,0.6708115333651788,0.004144866698512217,0.0002100781427598741,"[1.2205164944618438, 0.6708115333651788]"
0,linear L>=12,12 14 16 18 20,0.6699773521075884,0.003310685440921723,9.48752663874537e-05,"[1.234275033116935, 0.6699773521075884]"
0,quadratic all sizes,6 8 10 12 14 16 18 20,0.6657702366856685,-0.000896429980998148,3.597664776268955e-05,"[-0.9410408842663716, 1.362355880566881, 0.6657702366856685]"
0,constrained 2/3 plus a/L,6 8 10 12 14 16 18 20,0.6666666666666666,0,0.003382441453880934,"[1.2399620465309638, 0.6666666666666666]"
0.05,linear all sizes,6 8 10 12 14 16 18 20,0.6685969085713439,0.001930241904677277,0.001286618300995163,"[1.2567085727912843, 0.6685969085713439]"
0.05,linear drop L=6,8 10 12 14 16 18 20,0.6656038650578006,-0.001062801608866071,0.0003666206319016093,"[1.2986726608423875, 0.6656038650578006]"
0.05,linear L>=10,10 12 14 16 18 20,0.6644811245938183,-0.002185542072848379,0.0001070297188957751,"[1.315908179163989, 0.6644811245938183]"
0.05,linear L>=12,12 14 16 18 20,0.6640276058299631,-0.002639060836703511,2.744933498862852e-05,"[1.323388274630686, 0.6640276058299631]"
0.05,quadratic all sizes,6 8 10 12 14 16 18 20,0.6589201877793912,-0.007746478887275421,0.0001952952659577181,"[-1.0001344583387548, 1.469961421861822, 0.6589201877793912]"
0.05,constrained 2/3 plus a/L,6 8 10 12 14 16 18 20,0.6666666666666666,0,0.001486195769447801,"[1.2751111833293114, 0.6666666666666666]"
0.1,linear all sizes,6 8 10 12 14 16 18 20,0.6636517195204393,-0.003014947146227298,0.00151150288700365,"[1.3460299620509983, 0.6636517195204393]"
0.1,linear drop L=6,8 10 12 14 16 18 20,0.6600834633844577,-0.00658320328220896,0.0003363619947655149,"[1.3960588420193898, 0.6600834633844577]"
0.1,linear L>=10,10 12 14 16 18 20,0.6590258676068796,-0.007640799059786985,5.493241201885995e-05,"[1.412294305143822, 0.6590258676068796]"
0.1,linear L>=12,12 14 16 18 20,0.6588136564584184,-0.007853010208248246,2.786158168298175e-05,"[1.4157944021102467, 0.6588136564584184]"
0.1,quadratic all sizes,6 8 10 12 14 16 18 20,0.6524424143438013,-0.01422425232286528,0.0003384581136953837,"[-1.1585342392553126, 1.593057474409019, 0.6524424143438013]"
0.1,constrained 2/3 plus a/L,6 8 10 12 14 16 18 20,0.6666666666666666,0,0.001906501499183151,"[1.317285949194208, 0.6666666666666666]"
0.2,linear all sizes,6 8 10 12 14 16 18 20,0.6568131334598976,-0.009853533206769072,0.002221259602679696,"[1.5052904630766046, 0.6568131334598976]"
0.2,linear drop L=6,8 10 12 14 16 18 20,0.6515414474118728,-0.01512521925479382,0.0004322249343750255,"[1.5792023512586766, 0.6515414474118728]"
0.2,linear L>=10,10 12 14 16 18 20,0.6501888213769368,-0.01647784528972984,8.353930022019709e-05,"[1.5999669104380276, 0.6501888213769368]"
0.2,linear L>=12,12 14 16 18 20,0.6501470325435281,-0.0165196341231385,9.090798462425141e-05,"[1.6006561530631385, 0.6501470325435281]"
0.2,quadratic all sizes,6 8 10 12 14 16 18 20,0.6405074147607633,-0.02615925190590329,0.0005848227200800041,"[-1.6852724688041643, 1.8646313021369558, 0.6405074147607633]"
0.2,constrained 2/3 plus a/L,6 8 10 12 14 16 18 20,0.6666666666666666,0,0.004399421204965543,"[1.411348489488576, 0.6666666666666666]"
