lambda_or_g,L,h,gap_L_minus_2,gap_L,scaled_gap_residual,energy_even_L,energy_odd_L,residual_even_L,residual_odd_L,dim_even_L,dim_odd_L,bracket_left,bracket_right,f_left,f_right,evaluation_count,seconds
0.05,6,1.091170153389358,0.4583891477655762,0.3055927651769998,3.055334e-13,-8.252281916758765,-7.946689151581765,1.500913e-15,5.545784e-14,8,6,1.07,1.11,4.252080e-02,-4.085030e-02,7,0.012873
0.05,8,1.086417200406227,0.3000191333502453,0.2250143500125823,8.135714e-13,-10.91944381296022,-10.69442946294764,1.768108e-15,1.331562e-13,20,16,1.07,1.11,3.241185e-02,-5.188396e-02,7,0.006703
0.05,10,1.085054339849449,0.2234721047475254,0.1787776837975006,5.197620e-12,-13.60681243831961,-13.42803475452211,8.814178e-15,2.528003e-16,56,52,1.07,1.11,2.930389e-02,-5.580204e-02,7,0.009921
0.05,12,1.084517093909302,0.1781823032872456,0.1484852527371068,2.717471e-11,-16.30217133784423,-16.15368608510712,2.350750e-15,9.039449e-16,180,172,1.07,1.11,2.789045e-02,-5.799819e-02,7,0.041222
0.05,14,1.084262743989694,0.1482072539698045,0.1270347891240604,-9.919177e-11,-19.00158025826241,-18.87454546913835,9.479491e-16,2.104588e-15,596,586,1.07,1.11,2.705632e-02,-5.960334e-02,7,0.094459
0.05,16,1.084126814481306,0.1268876783361392,0.1110267185440854,5.826450e-13,-21.70334251836126,-21.59231579981718,2.097420e-15,2.010176e-15,2068,2048,1.07,1.11,2.646469e-02,-6.095801e-02,8,0.303479
0.05,18,1.084047595430249,0.110941613713333,0.09861476774526778,-1.492140e-12,-24.40659879953519,-24.30798403178992,1.552456e-15,2.854452e-15,7316,7286,1.07,1.11,2.598947e-02,-6.218900e-02,8,1.299212
0.05,20,1.083998313726162,0.09856212748141147,0.08870591473334954,-1.584510e-12,-27.11086489277622,-27.02215897804287,3.618654e-15,1.518367e-15,26272,26216,1.07,1.11,2.557604e-02,-6.335075e-02,8,4.601212
0.1,6,1.174539331999322,0.5113659497177734,0.3409106331451675,8.881784e-14,-8.750482877967002,-8.409572244821835,1.138589e-13,2.433054e-13,8,6,1.15,1.2,5.020532e-02,-5.682827e-02,7,0.012990
0.1,8,1.168919913869484,0.3341713447158963,0.2506285085366375,2.277289e-12,-11.57176148004866,-11.32113297151202,3.875068e-16,5.779146e-13,20,16,1.15,1.2,3.799418e-02,-7.053964e-02,7,0.006809
0.1,10,1.167314839493031,0.2487729162910171,0.199018333031141,1.672618e-11,-14.41658251039508,-14.21756417736394,6.721156e-15,4.481550e-16,56,52,1.15,1.2,3.424807e-02,-7.564323e-02,7,0.010583
0.1,12,1.166678871513836,0.1982987809721894,0.1652489841362232,8.721557e-11,-17.27055266747644,-17.10530368334022,1.694942e-15,8.937382e-16,180,172,1.15,1.2,3.253327e-02,-7.868488e-02,7,0.032910
0.1,14,1.166376550236028,0.164911781680587,0.1413529557261377,1.115552e-12,-20.129138371717,-19.98778541599087,2.022632e-15,2.233155e-15,596,586,1.15,1.2,3.151633e-02,-8.101314e-02,8,0.105455
0.1,16,1.166214477942102,0.1411740159661719,0.1235272639704377,-5.968559e-13,-22.99039750724996,-22.86687024327952,2.789918e-15,3.553164e-15,2068,2048,1.15,1.2,3.079287e-02,-8.303442e-02,8,0.304696
0.1,18,1.16611979214879,0.123423519093798,0.1097097947500281,2.629008e-13,-25.85334976063766,-25.74363996588763,2.293317e-15,3.195996e-15,7316,7286,1.15,1.2,3.021086e-02,-8.490000e-02,8,1.166179
0.1,20,1.166060773736693,0.1096455126489317,0.09868096138405491,-3.268497e-13,-28.71744419227528,-28.61876323089123,2.808559e-15,2.661442e-15,26272,26216,1.15,1.2,2.970422e-02,-8.667448e-02,8,4.746819
0.2,6,1.336283426631317,0.6157392984735379,0.4104928656488855,8.384404e-13,-9.735445429057036,-9.32495256340815,6.171619e-12,5.757742e-13,8,6,1.3,1.36,7.590877e-02,-5.428767e-02,7,0.004856
0.2,8,1.329057106952854,0.4015117343624919,0.3011338007711561,5.702105e-12,-12.86174229584208,-12.56060849507093,7.964610e-16,1.076428e-12,20,16,1.3,1.36,5.931685e-02,-7.175439e-02,7,0.006463
0.2,10,1.327100554090791,0.2987924445208527,0.2390339556115642,5.118039e-11,-16.01870471052794,-15.77967075491638,3.802125e-15,1.237108e-15,56,52,1.3,1.36,5.419336e-02,-7.755455e-02,7,0.010047
0.2,12,1.326321241219602,0.2381218323816228,0.1984348603179882,3.694822e-13,-19.18686008197188,-18.98842522165389,2.146743e-15,6.741363e-16,180,172,1.3,1.36,5.162954e-02,-8.078882e-02,8,0.036105
0.2,14,1.325948127118635,0.198004561060305,0.1697181951945304,2.344791e-13,-22.3606366556141,-22.19091846041957,1.835182e-15,7.120654e-16,596,586,1.3,1.36,4.994993e-02,-8.314062e-02,8,0.104686
0.2,16,1.325746993123086,0.169488670963009,0.1483025870927825,-2.394529e-12,-25.53766671307194,-25.38936412597915,1.104530e-15,1.948780e-15,2068,2048,1.3,1.36,4.864675e-02,-8.511546e-02,8,0.300885
0.2,18,1.325628983620075,0.1481689844622522,0.1317057639664334,2.344791e-13,-28.7167557779574,-28.58505001399097,2.859982e-15,1.262016e-15,7316,7286,1.3,1.36,4.752771e-02,-8.690299e-02,8,1.138065
0.2,20,1.325555178890169,0.131622721845666,0.1184604496610788,4.121148e-13,-31.89723280984828,-31.7787723601872,1.598176e-15,3.149165e-15,26272,26216,1.3,1.36,4.650881e-02,-8.858511e-02,8,4.734825
