L,momentum_sector,n_eigenpairs_requested,n_eigenpairs_effective,n_guard_eigenpairs,n_solver_eigenpairs,n_grouped_channels,channel_rank,displayed_in_fig7,source_cluster_index_zero_based,rank_slice_start,rank_slice_stop,multiplicity,mean_gap_lower,mean_gap_upper,channel_x_lower,channel_x_central,channel_x_upper,weight_lower,weight_central,weight_upper
14,0,256,256,1,257,109,1,True,1,3,4,1,0.9641317759481679,0.96413177594980237,19.364668544258155,19.36466854499724,19.364668545736325,0.93105281475933843,0.93105281568232534,0.93105281660531214
14,0,256,256,1,257,109,2,True,6,11,12,1,3.2918874307429919,3.2918874307436536,1.0282869646227328,1.0282869647879211,1.0282869649531095,0.049440013424666057,0.049440013479733043,0.049440013534800036
14,0,256,256,1,257,109,3,True,13,25,26,1,5.4348612372611909,5.4348612372618961,0.26346743952564561,0.26346743958563251,0.26346743964561942,0.012667508385550084,0.012667508400508542,0.012667508415467002
14,0,256,256,1,257,109,4,True,29,61,62,1,7.2919607851050037,7.2919607851057728,0.094756705057060103,0.094756705079812042,0.094756705102563968,0.004555900182802536,0.0045559001882389963,0.0045559001936754566
14,0,256,256,1,257,109,5,True,52,115,116,1,8.7719900162084503,8.7719900162090649,0.03551820602519401,0.035518206038600959,0.035518206052007908,0.0017077145224241087,0.001707714524696457,0.0017077145269688051
14,0,256,256,1,257,109,6,True,83,188,189,1,9.8015863934443832,9.8015863934450262,0.010702519844218395,0.010702519856662179,0.010702519869105963,0.00051457690603910874,0.00051457690712788484,0.00051457690821666104
14,0,256,256,1,257,109,7,True,103,242,243,1,10.329534674434475,10.329534674435118,0.0010953621663168968,0.0010953621713564957,0.0010953621763960947,5.2664987567402878e-05,5.2664987859905371e-05,5.2664988152407856e-05
14,0,256,256,1,257,109,8,True,30,62,64,2,7.3113295260137319,7.3113295260144868,7.0695509426647242e-05,7.0695510221988316e-05,7.0695511017329391e-05,3.399038454600454e-06,3.399038496080296e-06,3.3990385375601381e-06
14,0,256,256,1,257,109,9,True,63,140,142,2,9.0175143634828441,9.0175143634835226,5.9553274010709234e-05,5.9553276259833766e-05,5.9553278508958297e-05,2.8633200340651184e-06,2.8633201449322046e-06,2.8633202557992913e-06
14,0,256,256,1,257,109,10,True,107,250,252,2,10.3717662516729,10.371766251673465,3.0703250179900865e-05,3.0703250403610113e-05,3.0703250627319354e-05,1.476211556987018e-06,1.4762115691500342e-06,1.4762115813130502e-06
14,0,256,256,1,257,109,11,True,71,160,162,2,9.4088333998832052,9.4088333998838625,2.9063819074585239e-07,2.9063822709613855e-07,2.906382634464247e-07,1.3973877474433881e-08,1.397387923547428e-08,1.3973880996514683e-08
14,0,256,256,1,257,109,12,True,79,179,180,1,9.7041327174840095,9.7041327174846455,1.9188428587401252e-08,1.9188475487605103e-08,1.9188522387808953e-08,9.2257920171867843e-10,9.2258145755876949e-10,9.2258371339886489e-10
14,0,256,256,1,257,109,13,True,49,108,109,1,8.6383902528652587,8.6383902528658947,1.5866372236956846e-08,1.5866389911102668e-08,1.586640758524849e-08,7.6285480939038777e-10,7.6285565989004039e-10,7.6285651038969467e-10
14,0,256,256,1,257,109,14,True,104,243,244,1,10.333939861579109,10.333939861579688,1.3133810271463494e-08,1.3133825390614158e-08,1.3133840509764822e-08,6.3147329342680741e-10,6.3147402095712294e-10,6.3147474848744003e-10
14,0,256,256,1,257,109,15,True,37,74,75,1,7.7411435403978421,7.7411435403986184,1.1524336903631149e-08,1.1524341067840474e-08,1.1524345232049798e-08,5.5408985120699098e-10,5.5409005195022089e-10,5.5409025269345111e-10
14,0,256,256,1,257,109,16,False,21,42,43,1,6.6716566125995689,6.6716566126001888,7.7908313440421838e-09,7.7908453426657167e-09,7.7908593412892512e-09,3.7458299043990364e-10,3.7458366385044053e-10,3.7458433726097882e-10
14,0,256,256,1,257,109,17,False,75,170,172,2,9.5768562847257055,9.5768562847263485,1.4517234950787567e-09,1.4517257985540587e-09,1.4517281020293608e-09,6.9798831994266945e-11,6.9798942811836351e-11,6.9799053629405951e-11
14,0,256,256,1,257,109,18,False,88,200,201,1,10.041068792959178,10.04106879295985,6.8468246908300621e-13,6.8471208978533566e-13,6.847417104876652e-13,3.2919517243434844e-14,3.2920941437495525e-14,3.2922365631558933e-14
