check,case,direct_value,expected_value,abs_error,tolerance,status,note
color_shift_order,L=4,0,0,0.000000e+00,1.000000e-11,PASS,global color shift C=prod_j tau_j; explicit q=0 columns are orthonormal
hamiltonian_commutator,L=4,0,0,0.000000e+00,1.000000e-11,PASS,global color shift C=prod_j tau_j; explicit q=0 columns are orthonormal
perturbation_commutator,L=4,0,0,0.000000e+00,1.000000e-11,PASS,global color shift C=prod_j tau_j; explicit q=0 columns are orthonormal
q0_isometry,L=4,6.2803698347351007e-16,0,6.280370e-16,1.000000e-11,PASS,global color shift C=prod_j tau_j; explicit q=0 columns are orthonormal
ground_charge_leakage,L=4,5.2567101975308687e-15,0,5.256710e-15,1.000000e-10,PASS,frozen relative-norm tolerance for support outside q=0
response_charge_leakage,L=4,4.6215275161050376e-15,0,4.621528e-15,1.000000e-10,PASS,frozen relative-norm tolerance for support outside q=0
k0_q0_P2,L=4,0.90809351402839833,0.908093514028399,6.661338e-16,1.000000e-10,PASS,"full k=0 and explicit (k=0,q=0) level-projector moments agree"
k0_q0_P4,L=4,0.79553056473185668,0.79553056473185779,1.110223e-15,1.000000e-10,PASS,"full k=0 and explicit (k=0,q=0) level-projector moments agree"
k0_q0_KF,L=4,0.96470765032668115,0.96470765032668104,1.110223e-16,1.000000e-10,PASS,"full k=0 and explicit (k=0,q=0) level-projector moments agree"
color_shift_order,L=5,0,0,0.000000e+00,1.000000e-11,PASS,global color shift C=prod_j tau_j; explicit q=0 columns are orthonormal
hamiltonian_commutator,L=5,1.2560739669470201e-15,0,1.256074e-15,1.000000e-11,PASS,global color shift C=prod_j tau_j; explicit q=0 columns are orthonormal
perturbation_commutator,L=5,1.2560739669470201e-15,0,1.256074e-15,1.000000e-11,PASS,global color shift C=prod_j tau_j; explicit q=0 columns are orthonormal
q0_isometry,L=5,9.1551335970444749e-16,0,9.155134e-16,1.000000e-11,PASS,global color shift C=prod_j tau_j; explicit q=0 columns are orthonormal
ground_charge_leakage,L=5,1.0079086751366205e-15,0,1.007909e-15,1.000000e-10,PASS,frozen relative-norm tolerance for support outside q=0
response_charge_leakage,L=5,9.2299771755382578e-16,0,9.229977e-16,1.000000e-10,PASS,frozen relative-norm tolerance for support outside q=0
k0_q0_P2,L=5,1.6193891418673314,1.6193891418673385,7.105427e-15,1.000000e-10,PASS,"full k=0 and explicit (k=0,q=0) level-projector moments agree"
k0_q0_P4,L=5,2.4609649625253378,2.46096496252536,2.220446e-14,1.000000e-10,PASS,"full k=0 and explicit (k=0,q=0) level-projector moments agree"
k0_q0_KF,L=5,0.9384323804597462,0.93843238045974642,2.220446e-16,1.000000e-10,PASS,"full k=0 and explicit (k=0,q=0) level-projector moments agree"
color_shift_order,L=6,0,0,0.000000e+00,1.000000e-11,PASS,global color shift C=prod_j tau_j; explicit q=0 columns are orthonormal
