observable,model,L_min,L_max,powers,intercept,amplitude_1,amplitude_2,omega_free,rmse,loocv_rmse,max_abs_residual,condition_number,evidence_layer
K_F,Kinf+b*L^(-7/5),6,14,1.4,0.8475891059181018,0.8966081051810378,,,0.0003487749954745597,0.0005898440930653502,0.0006175937089255568,56.02941768073775,primary_theory_guided_free_intercept
K_F,Kinf+b*L^(-7/5),7,14,1.4,0.8469318376023496,0.9147397353705639,,,0.00016119049837564982,0.00027881713132608374,0.00026881361257768965,75.91689756986547,primary_theory_guided_free_intercept
K_F,Kinf+b*L^(-7/5),8,14,1.4,0.8465476637076519,0.9261842808105059,,,7.27750254192312e-05,0.00013164486855135097,0.0001125127385013247,102.09405448608914,primary_theory_guided_free_intercept
K_F,Kinf+b*L^(-7/5),9,14,1.4,0.846319940582797,0.9334315269142208,,,3.0741461909234944e-05,5.976998386059689e-05,4.305914733604421e-05,137.8000141112536,primary_theory_guided_free_intercept
K_F,Kinf+b*L^(-7/5),10,14,1.4,0.8461873519188028,0.9379021933213436,,,1.1345016925350567e-05,2.4645739952209147e-05,1.399300322146857e-05,189.04886525800967,primary_theory_guided_free_intercept
K_F,Kinf+a/L,6,14,1,0.8309138048314586,0.5304639351566103,,,0.00042847591059962906,0.0006470455932628587,0.0006839804787664994,33.46900786717165,empirical_comparator
K_F,Kinf+a/L+b/L^2,6,14,1+2,0.8373276157152969,0.4124796754955776,0.5028395232626777,,9.436128188034044e-05,0.0002611855173402055,0.00014895797433533975,1243.1172132977722,empirical_comparator
K_F,KCFT+b*L^(-7/5),6,14,1.4,0.8514956201179281,0.8216988227653956,,,0.0014829751573984036,0.0016630371998493005,0.0024312063332405653,1.0,fixed_CFT_mechanism_diagnostic
K_F,KCFT+a*L^(-4/5)+b*L^(-7/5),6,14,0.8+1.4,0.8514956201179281,-0.051601094227646686,1.0015758341630008,,0.0004860043463925255,0.0008378113703330895,0.0007611746851882151,23.996005459764273,fixed_CFT_mechanism_diagnostic
K_F,KCFT+c*L^(-8/5),6,14,1.6,0.8514956201179281,1.2382728867371604,,,0.0008983739529731009,0.001212970967189802,0.0019789880779558233,1.0,fixed_CFT_mechanism_diagnostic
K_F,KCFT+d*L^(-2),6,14,2,0.8514956201179281,2.7531147583602937,,,0.004487564215166543,0.005925013266628825,0.008021693827230725,1.0,fixed_CFT_mechanism_diagnostic
P2/L^(12/5),A2+B2*L^(-4/5),6,14,0.8,0.039069211738869875,-0.01714189639256001,,,4.9707626110712576e-05,7.771997084728282e-05,8.494463598007068e-05,27.541176341851493,scale_correction_diagnostic
P2/L^(12/5),A2+B2*L^(-7/5),6,14,1.4,0.03782280682577035,-0.03588182308592114,,,3.85476522952781e-06,6.270620365115233e-06,6.256426172697449e-06,56.02941768073775,scale_correction_diagnostic
P2/L^(12/5),A2+B2*L^(-8/5),6,14,1.6,0.037615607219079646,-0.04812180652541005,,,1.1156966106553643e-05,1.832386208796463e-05,1.75642735317158e-05,75.0642109330092,scale_correction_diagnostic
P2/L^(12/5),A2+B2*L^(-2),6,14,2,0.03732633910530078,-0.08969367786805067,,,4.05478780699647e-05,6.854776843721411e-05,6.11650946021336e-05,140.0719610045017,scale_correction_diagnostic
P2/L^(12/5),A2+B1*L^(-4/5)+B2*L^(-7/5),6,14,0.8+1.4,0.03771718956766443,0.0014422054863620498,-0.03888396679607515,,2.3470528199091306e-07,6.089750317944066e-07,3.4493391548595653e-07,880.4243043482327,scale_correction_diagnostic
P2/L^(12/5),A2+B2*L^(-omega),6,14,,0.03776437236093405,-0.03862101430667051,,1.451127629787597,4.964211151605896e-08,,7.972400198341667e-08,13314.735924003642,exploratory_free_exponent_diagnostic
P2/L^(12/5),A2+B2*L^(-omega),7,14,,0.03776505193902528,-0.03857528747701153,,1.450386610546986,3.2481848352716137e-08,,4.7009142058185294e-08,21883.15797881789,exploratory_free_exponent_diagnostic
P2/L^(12/5),A2+B2*L^(-omega),8,14,,0.03776577528242152,-0.03851965316538191,,1.449523498061251,1.9013559017628786e-08,,2.6715068164595568e-08,36136.09771710895,exploratory_free_exponent_diagnostic
P2/L^(12/5),A2+B2*L^(-omega),9,14,,0.03776648528253021,-0.0384585561922923,,1.4486079711705189,1.0018376451099794e-08,,1.444008201900715e-08,61161.80791901683,exploratory_free_exponent_diagnostic
P2/L^(12/5),A2+B2*L^(-omega),10,14,,0.03776716019185355,-0.03839460301894152,,1.4476764809627314,4.577775453600847e-09,,6.502964944310463e-09,109023.85638283308,exploratory_free_exponent_diagnostic
