model,L,rank,x,pi,source,KF_of_distribution
NNN-TFIM,12,1,2.9889306283788906e+00,8.7487806464212925e-01,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,2,3.0896953800833798e-01,9.0437251664390830e-02,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,3,8.5450776316631172e-02,2.5011958824420390e-02,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,4,2.5881561504675635e-02,7.5756895205720707e-03,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,5,6.3238514753057272e-03,1.8510295579527954e-03,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,6,5.6387916939948423e-04,1.6505084184031317e-04,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,7,1.2487762671037437e-04,3.6552436291480643e-05,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,8,5.1871672775082211e-05,1.5183152213816118e-05,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,9,3.6277607942501061e-05,1.0618675162693656e-05,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,10,2.7253984225305018e-05,7.9774059479440730e-06,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,11,1.3232819059095680e-05,3.8733261382048858e-06,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,12,5.8802545625007459e-06,1.7211860597895288e-06,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,13,5.7848491175265956e-06,1.6932603092676519e-06,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,14,2.2887610381996096e-06,6.6993419268965156e-07,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,15,2.2575109994149743e-06,6.6078711741386247e-07,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,16,2.1823024654408851e-06,6.3877312484304453e-07,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,17,1.3149904944829161e-06,3.8490566756980386e-07,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,18,7.1201251966864920e-07,2.0841036901098299e-07,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,19,5.7602262411646024e-07,1.6860530444977811e-07,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,20,5.6892320434299018e-07,1.6652726136221931e-07,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,21,3.9903497405061100e-07,1.1679994928864118e-07,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,22,3.3406174262231631e-07,9.7781891650962922e-08,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,23,2.4171405008012861e-07,7.0751163751702398e-08,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,24,2.2197934464142177e-07,6.4974696162736437e-08,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,25,8.2786127707342625e-08,2.4232000067227653e-08,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,26,7.5360003765086234e-08,2.2058328694360225e-08,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,27,4.1894618750828834e-08,1.2262808184184704e-08,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,28,3.1108869253025310e-08,9.1057541004400121e-09,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,29,1.7511634137872430e-08,5.1257611795333950e-09,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,30,1.6350749389583065e-08,4.7859631955277186e-09,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,31,7.7982466014544290e-09,2.2825939248991027e-09,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,32,6.8364035399176622e-09,2.0010566459214539e-09,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,33,5.3941462247763321e-09,1.5788992105475977e-09,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,34,2.4520044317196488e-09,7.1771652086830378e-10,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,35,2.3211385974090830e-09,6.7941130001026659e-10,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,36,1.9322633300377003e-09,5.6558515828760291e-10,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,37,1.4121565084554277e-09,4.1334674728110088e-10,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,38,1.2759930357629805e-09,3.7349087564157394e-10,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,39,1.0541555075637968e-09,3.0855769000883834e-10,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,40,6.9041846931359125e-10,2.0208965992424704e-10,parity-PRG-sector-hybrid,0.774276968954
NNN-TFIM,12,41,6.0879733883985722e-10,1.7819866159034023e-10,parity-PRG-sector-hybrid,0.774276968954
