model,L,rank,x,pi,source,KF_of_distribution
NNN-TFIM,20,1,8.3170818878909856e+00,8.4866663620652283e-01,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,2,9.1338751230437287e-01,9.3201139302111477e-02,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,3,3.0892373471839807e-01,3.1522265900678775e-02,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,4,1.3775997577014193e-01,1.4056888800259801e-02,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,5,6.6782932165124570e-02,6.8144629523368156e-03,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,6,3.2484457314053430e-02,3.3146812174411344e-03,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,7,1.5043888856184210e-02,1.5350632256766342e-03,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,8,6.1119784371357700e-03,6.2366010708187489e-04,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,9,1.8576111580868705e-03,1.8954876652213035e-04,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,10,1.8370113437538472e-04,1.8744678227186840e-05,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,11,7.8756730543026791e-05,8.0362572461725082e-06,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,12,5.4275617956007679e-05,5.5382292418952709e-06,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,13,4.5010525597118784e-05,4.5928285746481606e-06,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,14,4.2610153887136053e-05,4.3478970695583503e-06,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,15,4.0328267000010660e-05,4.1150556361320467e-06,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,16,3.8595198648546186e-05,3.9382150918186976e-06,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,17,3.3301698828011008e-05,3.3980717161722433e-06,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,18,3.0563779658364533e-05,3.1186972091961633e-06,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,19,3.0271673302816945e-05,3.0888909716817723e-06,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,20,2.7978813167182426e-05,2.8549298390597627e-06,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,21,9.7306490758570405e-06,9.9290560446889590e-07,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,22,6.6394735592130263e-06,6.7748517660781315e-07,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,23,5.6729238877550514e-06,5.7885942427549330e-07,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,24,5.5515443904285237e-06,5.6647398295255553e-07,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,25,5.5187573728468741e-06,5.6312842879097223e-07,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,26,3.6630887362107667e-06,3.7377787519587560e-07,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,27,3.1905277374019552e-06,3.2555822812887229e-07,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,28,3.1033340729212859e-06,3.1666107466437830e-07,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,29,3.0272609766458022e-06,3.0889865274859491e-07,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,30,2.8889319619238747e-06,2.9478369978838192e-07,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,31,2.1052857367828583e-06,2.1482123039937273e-07,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,32,1.6786808484859751e-06,1.7129089843675435e-07,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,33,1.5740107255301104e-06,1.6061046479937413e-07,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,34,1.5278027763372774e-06,1.5589545233032803e-07,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,35,1.0061308370348560e-06,1.0266457449375257e-07,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,36,5.4372474560537091e-07,5.5481123920034887e-08,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,37,3.9706878329156094e-07,4.0516497637143702e-08,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,38,1.3857405472142828e-07,1.4139956594289890e-08,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,39,1.1343506903387782e-07,1.1574799883237317e-08,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,40,9.7200583279361042e-08,9.9182493524691084e-09,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,41,1.0884517073830698e-08,1.1106451296613036e-09,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,42,8.4781118127372670e-09,8.6509796710959467e-10,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,43,2.6288062775674208e-09,2.6824073766423591e-10,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,44,2.4349765451403229e-09,2.4846254752098264e-10,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,45,8.7779359882608827e-11,8.9569172317991554e-12,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,46,4.7759910188944494e-12,4.8733730017241867e-13,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,47,2.7213770662301063e-21,2.7768656744976750e-22,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,48,7.2070300697384802e-22,7.3539806975198389e-23,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,49,4.6814156609912053e-23,4.7768692616604620e-24,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,50,1.0855837983180723e-23,1.1077187442151278e-24,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,51,4.8418025713391391e-24,4.9405264451910352e-25,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,52,8.8028986525629190e-25,8.9823888823486184e-26,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,53,3.8807539134867479e-26,3.9598821005948303e-27,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,54,1.9495912448161095e-26,1.9893432167893811e-27,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,55,1.3615517364451118e-26,1.3893136412091180e-27,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,56,9.9793488974457238e-27,1.0182826830954898e-27,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,57,7.2435120892706079e-27,7.3912065818091697e-28,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,58,1.1351703024579410e-27,1.1583163122526530e-28,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,59,7.0759972520551370e-28,7.2202761336897200e-29,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,60,1.5369813157405195e-28,1.5683202122139296e-29,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,61,1.4718790821830577e-28,1.5018905505760153e-29,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,62,1.1719326117086798e-28,1.1958282013401363e-29,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,63,5.6237999472356086e-31,5.7384686699641426e-32,parity-PRG-sector-hybrid,0.730172967025
NNN-TFIM,20,1,7.0065791600084317e+00,8.4815390022384063e-01,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,2,7.8398098973364305e-01,9.4901737204255876e-02,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,3,2.6570854150245499e-01,3.2164303100205641e-02,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,4,1.1489733938915997e-01,1.3908445805405139e-02,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,5,5.2015881263777847e-02,6.2965780532764698e-03,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,6,1.5773311827325387e-02,1.9093762648328891e-03,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,7,8.9310866242535581e-03,1.0811175868579660e-03,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,8,7.1708552950735397e-03,8.6803970205199003e-04,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,9,3.2145847134629774e-03,3.8912891727327327e-04,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,10,5.6670673983922509e-04,6.8600456899312005e-05,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,11,1.1404020537988095e-04,1.3804688816954356e-05,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,12,9.6657451473566912e-05,1.1700487867306666e-05,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,13,9.3281392053272134e-05,1.1291812264088759e-05,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,14,8.0318027271854235e-05,9.7225830941480416e-06,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,15,2.7921914651884724e-05,3.3799776285814102e-06,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,16,2.6912798824326791e-05,3.2578230784971093e-06,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,17,8.4268924335912109e-06,1.0200843408880513e-06,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,18,6.9227888567159345e-06,8.3801099440410748e-07,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,19,5.4880776781130515e-06,6.6433767193995172e-07,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,20,3.3165199955481808e-06,4.0146829218028260e-07,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,21,3.0290570186093137e-06,3.6667059140609154e-07,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,22,5.8811160477365966e-07,7.1191538690198866e-08,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,23,1.3309619276946836e-07,1.6111436469124666e-08,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,24,6.4864020426286759e-08,7.8518590388248432e-09,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,25,1.2867443613066329e-10,1.5576178099327176e-11,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,26,2.6078662062739543e-23,3.1568499314728976e-24,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,27,4.2893674104880528e-24,5.1923251213136933e-25,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,28,2.9842707095794623e-25,3.6124916080310771e-26,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,29,1.5256239574207873e-25,1.8467841156308496e-26,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,30,1.3962068634080584e-28,1.6901233393292807e-29,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,31,7.9661796319692803e-29,9.6431456356090517e-30,parity-PRG-sector-hybrid,0.72964473707
NNN-TFIM,20,1,5.2207424328051664e+00,8.4820237320449288e-01,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,2,6.0224047675237513e-01,9.7844666385255713e-02,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,3,2.0265944066471417e-01,3.2925627099313501e-02,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,4,8.1142010044960119e-02,1.3182961307236445e-02,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,5,3.1405861667410863e-02,5.1024402643278293e-03,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,6,1.0888223946917892e-02,1.7689854480707351e-03,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,7,2.9929491571419487e-03,4.8625777092859828e-04,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,8,5.6542599592156238e-04,9.1863499834541877e-05,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,9,3.8748095357660450e-04,6.2953165881164102e-05,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,10,3.0759297781315063e-04,4.9973944725322539e-05,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,11,2.3866669763997024e-04,3.8775645791498999e-05,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,12,1.8592994626432952e-04,3.0207623475201921e-05,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,13,1.6828858466550557e-04,2.7341470822150802e-05,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,14,1.3961847152105375e-04,2.2683501515647593e-05,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,15,1.3016493683976670e-04,2.1147606831118937e-05,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,16,1.2391163247412113e-04,2.0131646424801661e-05,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,17,1.0677412994133360e-04,1.7347354629870498e-05,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,18,7.7589259556541210e-05,1.2605753863186925e-05,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,19,7.3634914374741850e-05,1.1963300225444490e-05,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,20,6.1471612572759507e-05,9.9871557235406699e-06,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,21,5.2161401530637736e-05,8.4745465108469028e-06,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,22,3.4562174261923189e-05,5.6152393283877848e-06,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,23,3.3275956596194735e-05,5.4062704143741080e-06,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,24,3.1408873117281899e-05,5.1029295278684603e-06,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,25,2.6598217684751957e-05,4.3213530745078738e-06,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,26,1.7267720696473290e-05,2.8054480494091787e-06,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,27,1.5525530116256866e-05,2.5223982334618168e-06,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,28,1.5490238609941944e-05,2.5166645011822504e-06,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,29,1.2701247926919560e-05,2.0635434084196402e-06,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,30,1.1400033107077065e-05,1.8521379402425337e-06,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,31,1.1055929662521554e-05,1.7962322214570545e-06,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,32,1.0957270519691819e-05,1.7802032906749743e-06,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,33,1.0569293986042907e-05,1.7171696090053272e-06,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,34,7.4996937513061663e-06,1.2184585085433563e-06,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,35,7.4560934891291328e-06,1.2113748712394896e-06,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,36,6.8052702157495699e-06,1.1056370662965537e-06,parity-PRG-sector-hybrid,0.730308153046
NNN-TFIM,20,37,6.4134235277640811e-06,1.0419746092879193e-06,parity-PRG-sector-hybrid,0.730308153046
