lambda_or_g,L,h,sector_dim,n_low_energy_eigenpairs,KF,KF_half,P2,P4_low,n_levels,solve_res,seconds
0.05,16,1.084126814481306,2068,64,0.7467625411830247,0.7467625411684164,6.198869882167226,28.695088308973908,63,2.8976198077895335e-08,0.235377
0.05,16,1.084126814481306,2068,96,0.7467625411838856,0.7467625411829364,6.198869882168071,28.69508830901482,95,2.8149218529617193e-08,0.260849
0.05,16,1.084126814481306,2068,160,0.7467625411835863,0.7467625411835593,6.1988698821693795,28.695088309015432,159,2.864107316609749e-08,0.786463
0.05,18,1.0840475954302486,7316,64,0.7375438706365924,0.7375438705583567,7.897143499438119,45.996831631691364,63,4.2287426608092295e-08,0.815419
0.05,18,1.0840475954302486,7316,96,0.7375438706385827,0.7375438706299668,7.897143499436978,45.996831631802195,95,6.396628073456889e-08,0.889321
0.05,18,1.0840475954302486,7316,160,0.7375438706387833,0.7375438706384214,7.897143499436777,45.99683163181237,159,6.267387320727034e-08,2.941590
0.1,16,1.1662144779421024,2068,64,0.7472644001541419,0.7472643999999937,5.232612470126039,20.46027358499639,63,3.5783929062434645e-08,0.117786
0.1,16,1.1662144779421024,2068,96,0.7472644001564428,0.7472644001497822,5.232612470126877,20.46027358506594,95,4.035685417015697e-08,0.245354
0.1,16,1.1662144779421024,2068,160,0.7472644001562703,0.747264400156095,5.232612470126821,20.46027358506078,159,3.988604268709649e-08,0.721508
0.1,18,1.1661197921487902,7316,64,0.7374488089825483,0.7374488082168142,6.661036192890388,32.720163517817674,63,4.9579479044546165e-08,0.364404
0.1,18,1.1661197921487902,7316,96,0.7374488089961182,0.7374488089056963,6.661036192890315,32.720163518419035,95,4.842883118846705e-08,0.721988
0.1,18,1.1661197921487902,7316,160,0.7374488089969751,0.7374488089939574,6.661036192890722,32.720163518461064,159,5.2766394036120096e-08,3.109997
0.2,16,1.3257469931230863,2068,64,0.7500751234690587,0.7500751226671537,3.9073140980391474,11.451474513326056,63,3.345946840653513e-08,0.115743
0.2,16,1.3257469931230863,2068,96,0.7500751234727117,0.7500751234445957,3.9073140980395165,11.451474513383989,95,3.394118265924954e-08,0.201594
0.2,16,1.3257469931230863,2068,160,0.7500751234730226,0.7500751234715864,3.9073140980393375,11.451474513387687,159,3.415366990898885e-08,0.711637
0.2,18,1.3256289836200745,7316,64,0.7390259144526845,0.7390259131254812,4.967942734669591,18.239495836536477,63,3.818079381548773e-08,0.413855
0.2,18,1.3256289836200745,7316,96,0.7390259144775411,0.7390259141196621,4.967942734669261,18.239495837147526,95,4.40595531048119e-08,0.708620
0.2,18,1.3256289836200745,7316,160,0.7390259144802599,0.7390259144620205,4.96794273466925,18.239495837214545,159,4.4390903627968445e-08,2.785909
