lambda_or_g,fit,sizes,K_inf,deviation_from_2_3,rmse,coefficients
0,linear all sizes,6 8 10 12 14 16 18,0.6757016303992864,0.009034963732619805,0.001125825714948242,"[1.1550761431601952, 0.6757016303992864]"
0,linear drop L=6,8 10 12 14 16 18,0.672761372866217,0.006094706199550326,0.0004252129986698826,"[1.193622801297028, 0.672761372866217]"
0,linear L>=10,10 12 14 16 18,0.67124472114143,0.004578054474763338,0.0001744641381752878,"[1.215399974008746, 0.67124472114143]"
0,quadratic all sizes,6 8 10 12 14 16 18,0.6656477487037303,-0.001018917962936294,3.154583189932237e-05,"[-0.9501563056879466, 1.3645744975285772, 0.6656477487037303]"
0,constrained 2/3 plus a/L,6 8 10 12 14 16 18,0.6666666666666666,0,0.003438059431276708,"[1.2379506573655428, 0.6666666666666666]"
0.05,linear all sizes,6 8 10 12 14 16 18,0.6693503233632115,0.002683656696544912,0.001258609269467974,"[1.2506669937766184, 0.6693503233632115]"
0.05,linear drop L=6,8 10 12 14 16 18,0.6659613555473758,-0.0007053111192908412,0.0003518668319551157,"[1.2950962256940608, 0.6659613555473758]"
0.05,linear L>=10,10 12 14 16 18,0.6646547387282692,-0.00201192793839744,0.000100642204520062,"[1.3138575666615897, 0.6646547387282692]"
0.05,quadratic all sizes,6 8 10 12 14 16 18,0.6582023413543782,-0.008464325312288468,0.000164202782242165,"[-1.0535558028369463, 1.482963728122645, 0.6582023413543782]"
0.05,constrained 2/3 plus a/L,6 8 10 12 14 16 18,0.6666666666666666,0,0.001585917888258436,"[1.2752832237474276, 0.6666666666666666]"
0.1,linear all sizes,6 8 10 12 14 16 18,0.6644345144559749,-0.002232152210691729,0.001509560610893971,"[1.3397527857778937, 0.6644345144559749]"
0.1,linear drop L=6,8 10 12 14 16 18,0.6603204641947865,-0.006346202471880114,0.000342769740746578,"[1.3936878194244935, 0.6603204641947865]"
0.1,linear L>=10,10 12 14 16 18,0.6590189036882513,-0.007647762978415296,6.01270607555655e-05,"[1.4123765582313876, 0.6590189036882513]"
0.1,quadratic all sizes,6 8 10 12 14 16 18,0.6511877111950642,-0.01547895547160238,0.0002830627379629976,"[-1.2519078729686592, 1.615783832078066, 0.6511877111950642]"
0.1,constrained 2/3 plus a/L,6 8 10 12 14 16 18,0.6666666666666666,0,0.001709644695979151,"[1.3192780461366507, 0.6666666666666666]"
0.2,linear all sizes,6 8 10 12 14 16 18,0.657871734161349,-0.008794932505317599,0.002243042101153158,"[1.4968016202083276, 0.657871734161349]"
0.2,linear drop L=6,8 10 12 14 16 18,0.6517311237656207,-0.01493554290104593,0.0004567978400553106,"[1.5773047758038563, 0.6517311237656207]"
0.2,linear L>=10,10 12 14 16 18,0.6499860057971828,-0.01668066086948383,5.863207754624224e-05,"[1.60236243062328, 0.6499860057971828]"
0.2,quadratic all sizes,6 8 10 12 14 16 18,0.63830540406251,-0.02836126260415661,0.0004841785286716326,"[-1.849143692510515, 1.904516180699646, 0.63830540406251]"
0.2,constrained 2/3 plus a/L,6 8 10 12 14 16 18,0.6666666666666666,0,0.003876950584673271,"[1.4161288272212926, 0.6666666666666666]"
