lambda_or_g,L,h,source
0.05,6,1.09117015339,parity-sector-PRG-produced
0.05,8,1.08641720041,parity-sector-PRG-produced
0.05,10,1.08505433985,parity-sector-PRG-produced
0.05,12,1.08451709391,parity-sector-PRG-produced
0.05,14,1.08426274399,parity-sector-PRG-produced
0.05,16,1.08412681448,parity-sector-PRG-produced
0.05,18,1.08404759543,parity-sector-PRG-produced
0.05,20,1.08399831373,parity-sector-PRG-produced
0.1,6,1.174539332,parity-sector-PRG-produced
0.1,8,1.16891991387,parity-sector-PRG-produced
0.1,10,1.16731483949,parity-sector-PRG-produced
0.1,12,1.16667887151,parity-sector-PRG-produced
0.1,14,1.16637655024,parity-sector-PRG-produced
0.1,16,1.16621447794,parity-sector-PRG-produced
0.1,18,1.16611979215,parity-sector-PRG-produced
0.1,20,1.16606077374,parity-sector-PRG-produced
0.2,6,1.33628342663,parity-sector-PRG-produced
0.2,8,1.32905710695,parity-sector-PRG-produced
0.2,10,1.32710055409,parity-sector-PRG-produced
0.2,12,1.32632124122,parity-sector-PRG-produced
0.2,14,1.32594812712,parity-sector-PRG-produced
0.2,16,1.32574699312,parity-sector-PRG-produced
0.2,18,1.32562898362,parity-sector-PRG-produced
0.2,20,1.32555517889,parity-sector-PRG-produced
