J2,L,acceptance,h,key,kind,scaled_gap_residual,task_seconds,KF,KF_half,P2,P4_low,n_levels,n_low_energy_eigenpairs,shift,solve_res
0.05,6,PASS,1.0911701533893579,prg_j2_0p05_L6,prg,3.055333763768431e-13,0.012873488999986193,,,,,,,,
0.05,8,PASS,1.0864172004062271,prg_j2_0p05_L8,prg,8.135714324453147e-13,0.006703434000002062,,,,,,,,
0.05,10,PASS,1.0850543398494488,prg_j2_0p05_L10,prg,5.197620112085133e-12,0.009921332000004668,,,,,,,,
0.05,12,PASS,1.0845170939093018,prg_j2_0p05_L12,prg,2.717470692914503e-11,0.041222254000000014,,,,,,,,
0.05,14,PASS,1.0842627439896941,prg_j2_0p05_L14,prg,9.919176591210999e-11,0.09445897400000014,,,,,,,,
0.05,16,PASS,1.084126814481306,prg_j2_0p05_L16,prg,5.826450433232822e-13,0.3034792510000006,,,,,,,,
0.05,18,PASS,1.0840475954302486,prg_j2_0p05_L18,prg,1.4921397450962104e-12,1.299211906,,,,,,,,
0.05,20,PASS,1.0839983137261615,prg_j2_0p05_L20,prg,1.5845103007450234e-12,4.601212449,,,,,,,,
0.1,6,PASS,1.1745393319993218,prg_j2_0p1_L6,prg,8.881784197001252e-14,0.012989937000000396,,,,,,,,
0.1,8,PASS,1.1689199138694841,prg_j2_0p1_L8,prg,2.277289468111121e-12,0.006808769000000936,,,,,,,,
0.1,10,PASS,1.1673148394930315,prg_j2_0p1_L10,prg,1.6726175999792758e-11,0.010582630000000037,,,,,,,,
0.1,12,PASS,1.166678871513836,prg_j2_0p1_L12,prg,8.72155681008735e-11,0.03291016700000071,,,,,,,,
0.1,14,PASS,1.166376550236028,prg_j2_0p1_L14,prg,1.1155520951433573e-12,0.105454559,,,,,,,,
0.1,16,PASS,1.1662144779421024,prg_j2_0p1_L16,prg,5.968558980384842e-13,0.30469569799999974,,,,,,,,
0.1,18,PASS,1.1661197921487902,prg_j2_0p1_L18,prg,2.6290081223123707e-13,1.166179477,,,,,,,,
0.1,20,PASS,1.166060773736693,prg_j2_0p1_L20,prg,3.268496584496461e-13,4.746819416000001,,,,,,,,
0.2,6,PASS,1.3362834266313166,prg_j2_0p2_L6,prg,8.384404281969182e-13,0.004855779000003224,,,,,,,,
0.2,8,PASS,1.329057106952854,prg_j2_0p2_L8,prg,5.702105454474804e-12,0.006463199999998892,,,,,,,,
0.2,10,PASS,1.3271005540907905,prg_j2_0p2_L10,prg,5.1180393256800016e-11,0.010047420000006468,,,,,,,,
0.2,12,PASS,1.3263212412196022,prg_j2_0p2_L12,prg,3.694822225952521e-13,0.03610478499999914,,,,,,,,
0.2,14,PASS,1.3259481271186353,prg_j2_0p2_L14,prg,2.3447910280083306e-13,0.10468596899999483,,,,,,,,
0.2,16,PASS,1.3257469931230863,prg_j2_0p2_L16,prg,2.3945290195115376e-12,0.3008853410000043,,,,,,,,
