L,archived,artifact,comparison,error,lambda_or_g,metric,regenerated,status,tolerance
18,1.08404752938,prg,absolute,6.605025e-08,0.05,h,1.084047595430249,PASS,1.000000e-05
18,1.16611974987,prg,absolute,4.227879e-08,0.1,h,1.16611979214879,PASS,1.000000e-05
18,1.32562896,prg,absolute,2.362007e-08,0.2,h,1.325628983620075,PASS,1.000000e-05
20,1.0839983,prg,absolute,1.372616e-08,0.05,h,1.083998313726162,PASS,1.000000e-05
20,1.16606076,prg,absolute,1.373669e-08,0.1,h,1.166060773736693,PASS,1.000000e-05
20,1.32555516,prg,absolute,1.889017e-08,0.2,h,1.325555178890169,PASS,1.000000e-05
18,0.7375438707700001,response,absolute,1.312167e-10,0.05,KF,0.7375438706387833,PASS,2.000000e-05
18,7.89714451803,response,relative,1.289825e-07,0.05,P2,7.897143499436777,PASS,2.000000e-05
18,45.9968435056,response,relative,2.581435e-07,0.05,P4_low,45.99683163181237,PASS,2.000000e-05
18,0.737448808995,response,absolute,1.975087e-12,0.1,KF,0.7374488089969751,PASS,2.000000e-05
18,6.66103672417,response,relative,7.975925e-08,0.1,P2,6.661036192890722,PASS,2.000000e-05
18,32.7201687378,response,relative,1.595144e-07,0.1,P4_low,32.72016351846106,PASS,2.000000e-05
18,0.739025914372,response,absolute,1.082598e-10,0.2,KF,0.7390259144802599,PASS,2.000000e-05
18,4.96794294095,response,relative,4.152237e-08,0.2,P2,4.96794273466925,PASS,2.000000e-05
18,18.2394973492,response,relative,8.289622e-08,0.2,P4_low,18.23949583721454,PASS,2.000000e-05
20,0.730172967047,response,absolute,2.165468e-11,0.05,KF,0.7301729670253453,PASS,2.000000e-05
20,9.800175658760001,response,relative,2.677164e-08,0.05,P2,9.80017539639325,PASS,2.000000e-05
20,70.1283256988,response,relative,5.357332e-08,0.05,P4_low,70.12832194179248,PASS,2.000000e-05
20,0.729644737059,response,absolute,1.136891e-11,0.1,KF,0.7296447370703689,PASS,2.000000e-05
20,8.260976385839999,response,relative,2.587551e-08,0.1,P2,8.260976172083026,PASS,2.000000e-05
20,49.79367905,response,relative,5.173381e-08,0.1,P4_low,49.79367647398305,PASS,2.000000e-05
20,0.730308152949,response,absolute,9.738421e-11,0.2,KF,0.7303081530463842,PASS,2.000000e-05
20,6.15506719947,response,relative,3.314058e-08,0.2,P2,6.155066995487525,PASS,2.000000e-05
20,27.6676164568,response,relative,6.614669e-08,0.2,P4_low,27.66761462667877,PASS,2.000000e-05
