L,KF_NS_numeric,KF_NS_exact,KF_NS_minus_two_thirds,KF_R_exact,KF_R_minus_two_fifths
16,0.7472222222222222,0.7472222222222221,0.08055555555555549,0.5542857142857143,0.15428571428571425
24,0.7210144927536232,0.7210144927536232,0.05434782608695654,0.5019762845849802,0.1019762845849802
32,0.7076612903225806,0.7076612903225806,0.040994623655914,0.4761290322580645,0.0761290322580645
48,0.6941489361702128,0.6941489361702128,0.027482269503546153,0.45050878815911194,0.05050878815911192
64,0.6873346560846563,0.687334656084656,0.02066798941798942,0.4377880184331797,0.03778801843317969
96,0.6804824561403507,0.6804824561403509,0.013815789473684226,0.42512877939529675,0.02512877939529673
128,0.6770423228346457,0.6770423228346457,0.010375656167979086,0.41882264716910383,0.018822647169103812
192,0.6735929319371724,0.6735929319371727,0.0069262652705061045,0.4125323780655828,0.012532378065582772
256,0.6718647875816992,0.6718647875816993,0.005198120915032689,0.4093932376100046,0.009393237610004601
384,0.6701343559617062,0.6701343559617058,0.003467689295039156,0.406258116550244,0.006258116550243997
512,0.6692682852250491,0.6692682852250489,0.002601618558382257,0.40469206860826523,0.00469206860826521
768,0.6684016460234683,0.6684016460234681,0.001734979356801447,0.4031270318388077,0.0031270318388076923
1024,0.6679681135956331,0.6679681135956337,0.0013014469289670538,0.4023448932861217,0.0023448932861216965
